commit_id,OSV-2023-1205,OSV-2023-1206,OSV-2023-1207,OSV-2023-1208,OSV-2023-1294,OSV-2023-1305,OSV-2023-1311,OSV-2023-1312,OSV-2023-1313,OSV-2023-1322,OSV-2023-342,OSV-2023-68,OSV-2023-75,OSV-2023-840,OSV-2023-95,OSV-2023-97,OSV-2024-637,OSV-2024-638,OSV-2025-534,OSV-2025-584,OSV-2025-589
31fc8edb9ce38e779e3d9514cb59b402bef1e58b,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
2e128ba9133345250937f57581947d2b9b905743,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
56a598ca6f0e255ce33c1abac678abdb19818e75,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
e4574d306f1b5fdbe5343147ef9ef72b1e25c680,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
0c9dc5e7b263592775aa56122452d17c6eb01afa,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
7f0c8a545b466bd93e440732d9b0ac484757062e,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
072e69978a33dfecc20a93ab966c8d6013e42993,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
f9f0475b6306834ef694c997dfd4df2adbcac20a,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
a7b6206fab667ab4e719416bf6fe5960b21da8e5,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
583887f906a432918a34c40aa58820b33b91d5a7,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
