commit_id,OSV-2020-2184,OSV-2021-1589,OSV-2021-1791,OSV-2021-21,OSV-2021-213,OSV-2021-22,OSV-2021-221,OSV-2021-246,OSV-2021-247,OSV-2021-27,OSV-2021-274,OSV-2021-369,OSV-2021-404,OSV-2021-429,OSV-2021-464,OSV-2021-481,OSV-2021-485,OSV-2021-487,OSV-2021-496,OSV-2021-498,OSV-2021-526,OSV-2021-622,OSV-2021-639,OSV-2021-847,OSV-2021-897,OSV-2021-997,OSV-2022-1242,OSV-2022-322,OSV-2022-34,OSV-2022-4,OSV-2022-486,OSV-2022-511,OSV-2023-319,OSV-2023-51
a675b071ffd1d623a14cc83654557ccafb4f3446,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
9f99b3af67d8148f9985fb1c0d2c01c5e10f094f,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
bf437c3825188d0115e2a45134ceb744743c7b63,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
64e1ce8a4bc1b12099afb1eda7890cc16f9e2904,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
5ff43ff87135d0fa649c758e136b62405aefc78a,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
f3aea9edc53b9f943bd681fec85b65c7766d94da,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
dc5d651c38dfb7b2527edeaa05bb493f050f5554,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
7424ecfb6ccabfbf865f34c9019559efeb8a39e0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
21ebac590bdecda71a75c9c9153a4275baadda66,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
8f8d931fbda982820f5db71619072b696d5daf56,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
e6d337c7f95b30ab1942e2cc2c72005e932dd9bd,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
fb5be70daa212a6a61343a185adfb5659e5247ae,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
bcad9792c0d911e7facdc4c7dcacdd8c32c6127a,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
0157208e915933bcf027aff5759abe5a2bd6e705,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
3ae32b6de27fb6ea383f9d6a54db7c81cdf25d39,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
1d01dec79bf63026de232aa27f62044396e10680,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
a72dec9ef6fd2d9b315b91eaa95cbd7fce91057e,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
4ff59716e1c140c49b7aa688894ca0a20ea7e0ac,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
addcc195e1eb5629a1b9e6d8938df4dc06bf910e,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
a874872e3db80d67f083422c880663f843e485a0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
acb7c1ea32e35d664f7822bf7c19e0bc4412054b,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
d15b21b11bf49859d76208b3f1ebad60f4903a40,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|1,0|0,0|0,0|0,0|1,0|0,0|1,0.5|1
