commit_id,OSV-2020-1121,OSV-2020-1222,OSV-2020-1301,OSV-2020-1733,OSV-2020-955,OSV-2020-958,OSV-2020-998,OSV-2020-999,OSV-2021-220,OSV-2021-222,OSV-2021-228,OSV-2021-229,OSV-2021-231,OSV-2021-240,OSV-2021-242,OSV-2021-251,OSV-2021-258,OSV-2021-305,OSV-2023-1370,OSV-2023-837,OSV-2024-1212,OSV-2024-189,OSV-2024-20,OSV-2024-74
92c663a4df835c314e70ce47b3d26e4c7c454e72,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
b2343c6193febeb105a5a123dc55b88b506570ab,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
8b50f7ae360ef0a6c4bd7ba441338e341652a520,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
3ec3c53b1225d8b2f6c6cf273758a07555d1d8b0,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
9369f1ca75fcb9054c44bdfc682e2abcf7777685,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
736050de002131655a27fc7def9ff8c7d4559efe,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
223a12498ba17bcedd30764398b4904d26f1e9c0,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
e098847033160afc842c435ea87206f94abd62f3,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
04a20ae474d56c240cd94320221db83619bac211,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
5bd978ed66b9ec2d85344fe6a657a50d542947a8,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
d8075641275729878bf2455ac9e999fed4263d9e,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
ba95c897358c9896a993ebc3336e680d15c96082,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|1,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
